,TMEDIA °C,TMIN °C,TMAX °C,PUNTORUGIADA °C,UMIDITA %,VISIBILITA km,VENTOMEDIA km/h,VENTOMAX km/h,RAFFICA km/h,PRESSIONESLM mb,PRESSIONEMEDIA mb,PIOGGIA mm
2020-03-29,12.214038169521825,6.122578204307778,16.711227232080027,6.02918828112866,66.99143579898964,18.21883008836437,8.519848502212097,16.616780134709046,0.0,1012.3692727467952,0.0,0.0
2020-03-30,10.781658167107782,7.109138639640223,13.799980633916473,7.149958040152347,78.66089987734811,16.77626794052461,11.604340154498313,21.475319002431522,0.0,1012.5001829019001,0.0,0.0
2020-03-31,7.9423635560101875,4.7886663720373654,10.855596053291487,4.194728452749241,68.84966208667068,17.307180844460554,13.083976800425065,24.232829980683583,0.0,1018.2363456696944,0.0,0.0
2020-04-01,7.644220808817438,3.156902407073328,10.880942382594615,1.7095188881310122,55.54094128296497,19.29842035812865,11.084054334453151,18.349552339183163,0.0,1017.9558701895187,0.0,0.0
2020-04-02,8.196864382199388,1.3424083323240117,13.069866721701269,1.7537303740015682,58.24194401769606,19.324628197691094,8.012495537734829,14.105021801352699,0.0,1013.5750588859637,0.0,0.0
2020-04-03,10.125657785696523,2.8999827087224563,15.375949426598947,3.1436574478393107,60.85912310114684,18.77544447348459,8.221329547845041,14.65091141766162,0.0,1012.511704282499,0.0,0.0
2020-04-04,12.635273911053288,5.5816391383773585,17.732513497527236,3.9171495153347684,55.59477470628902,18.37943790319818,10.66596218127323,18.2645118363728,0.0,1017.3113319780057,0.0,0.0
2020-04-05,13.520270181874542,6.832509280086198,18.096812826275038,3.909338957615365,52.576108094869404,19.165963137307727,11.476209135777257,20.041734841262187,0.0,1020.3570351353776,0.0,0.0
2020-04-06,14.317203944642428,7.169245729771588,19.357870937745076,4.131385342096379,52.680688890075395,19.507903607900733,9.34275704639481,16.406135634534134,0.0,1023.8772124866913,0.0,0.0
2020-04-07,14.749139526532442,6.904812426824161,20.40041119906383,4.28001038007876,50.596216085456774,19.623559943361077,8.854151759248047,16.158794400866544,0.0,1026.2269921889101,0.0,0.0
2020-04-08,14.636331869285405,6.478992007498728,20.256268081470388,3.631993060115221,47.28240569347865,19.254599141173287,8.941093418318241,16.186711447356974,0.0,1024.4300459719548,0.0,0.0
2020-04-09,14.90593077539297,6.2711524450557015,21.041819585572487,3.957653953460712,48.26713677825532,19.89179148392625,8.060054220506021,14.39227206722935,0.0,1021.2071653885457,0.0,0.0
2020-04-10,15.771390293085778,7.140382576820019,21.930254987909475,4.818700609630418,49.54560284272872,19.34022522885044,7.897026956065808,14.883280602905135,0.0,1021.0730392594323,0.0,0.0
2020-04-11,15.82975507179465,7.614986715101828,21.941476388745784,5.333470542378245,52.07940228909074,19.230329539478923,8.262062340799233,14.990230652841973,0.0,1020.0963555270778,0.0,0.0
2020-04-12,16.0196738585685,8.408245188624687,21.620269792242908,5.444164998332512,51.1092771544259,19.01525951378901,8.215882677254031,15.460024304951023,0.0,1018.7961152022257,0.0,0.0
2020-04-13,15.63703940095683,8.698880487692094,20.73411173881048,5.646570159260918,53.07511054619368,18.60278843882933,9.608246466609613,18.77881330992966,0.0,1015.1926161488627,0.0,0.0
2020-04-14,15.011901604928068,9.52566650437835,20.105638742714344,7.603199497251465,60.83369943164568,18.460860974144328,13.307591209496975,31.133690971934385,0.0,1011.5314238556933,0.0,0.0
2020-04-15,12.587277630452222,7.48570064469107,16.732210993958983,3.8464985295773886,54.71225699247592,19.91029364892169,11.452901189512405,19.953646839335125,0.0,1021.8668622891837,0.0,0.0
2020-04-16,13.554212245518105,5.8167066942477135,19.071918460603555,4.846664270855257,57.41993081364108,19.756796507958732,7.9972784166608255,14.748044784143248,0.0,1021.1792017273207,0.0,0.0
2020-04-17,15.199981699400587,6.901069004681128,20.403152404417302,6.15871366175605,58.20956369671065,19.6924681744873,7.80097859068916,13.41202506093116,0.0,1018.1517301105141,0.0,0.0
2020-04-18,15.91677104420951,9.06103598904142,21.09022579042811,8.46700209544334,64.03234479266516,18.51962414958922,7.255363469142551,14.666456937357669,0.0,1016.5164385751007,0.0,0.0
2020-04-19,16.265721964974393,10.778049139801144,20.828134952948204,10.85429059516051,70.97653721603695,18.629370491120703,7.939841674614918,15.681190402413266,0.0,1013.7619633354049,0.0,0.0
2020-04-20,14.336174415071433,12.380074445457325,15.999171984199377,11.954664235794553,86.56352172591923,11.252256153144913,12.713878760255241,22.023192038894006,0.0,1010.5853312063193,0.0,0.0
2020-04-21,13.33663020358556,11.240988827337976,15.440252553584369,9.205312857910817,77.11500829768846,15.788473809690736,12.536647149568756,20.213746698455036,0.0,1011.0543726480136,0.0,0.0
2020-04-22,14.686981367918039,9.930007889975432,18.210413127399843,7.007996671362666,63.35101939518256,17.328682305046794,10.964211537664706,18.43154876591809,0.0,1014.6315264081093,0.0,0.0
2020-04-23,15.285431686969993,9.120457367571676,19.65035422549956,7.0084173992218775,60.80906932155522,18.857835239623608,9.379960783860627,16.758612085460893,0.0,1016.4909507121553,0.0,0.0
2020-04-24,16.017971879229812,8.874044311621253,21.151663023811587,7.955244330267089,61.61057023631964,19.180260990718477,8.549418092732239,16.02385629885914,0.0,1014.1732776718857,0.0,0.0
2020-04-25,16.584169734853425,10.133257750871184,21.478712986914392,9.153978974535072,63.36932788705482,19.39761785142065,10.120781551515973,18.633039352208115,0.0,1010.4812496300436,0.0,0.0
2020-04-26,16.35414493671551,11.100861354933324,20.498030121589945,9.374915025424887,65.54786811849824,19.258814429133466,8.436992996401608,16.318496692294765,0.0,1010.3786451950219,0.0,0.0
2020-04-27,16.472170312974733,11.829994682467351,20.520309176542156,11.150482376177417,71.91425098754193,18.0863491340018,8.295293983591613,16.72727134609543,0.0,1011.9004519902753,0.0,0.0
2020-04-28,15.697785627468807,12.345491491947751,18.78193178365245,12.150026587663286,80.2401397751444,17.598427529626225,9.859332269826801,19.92303251291404,0.0,1010.9886470677593,0.0,0.0
2020-04-29,16.314923275600073,12.072702066241284,20.242050288666125,11.014429504709776,73.43544515344892,18.314015496809454,11.647162716499546,20.995502886660642,0.0,1009.0219196292908,0.0,0.0
2020-04-30,15.788943330294694,11.31689076268613,19.38163552111827,10.709848830142775,72.9750987541782,18.79168185961711,10.430093436645397,19.260202066241312,0.0,1010.501637040412,0.0,0.0
2020-05-01,17.088545816518778,12.325924562819544,20.54802206080173,11.275222060801704,70.84461232176467,19.00434436373405,10.369242937853024,18.770117621738027,0.0,1010.2834936777033,0.0,0.0
2020-05-02,18.5005514662363,12.636616653215027,23.09970285176218,10.757397202044649,63.63684396018282,19.483553403282077,11.558522598870022,21.692462254506392,0.0,1009.6821659940874,0.0,0.0
2020-05-03,18.248298358891656,12.945279930051171,22.145859160613465,10.104208501479686,61.08714151197186,19.299368845843254,10.719117702448198,19.954790691417898,0.0,1013.1565068603787,0.0,0.0
2020-05-04,17.887228679042288,11.604984261501244,22.480301721818584,7.76232902878667,53.75337126715097,19.888449825127754,9.694560263653482,17.327690879741713,0.0,1017.02847484531,0.0,0.0
2020-05-05,17.680750336292782,11.085149986548329,22.42109268227056,10.691790422383637,65.57530723701932,19.664299165994013,8.897844632768352,16.86444417541022,0.0,1014.3529795534043,0.0,0.0
2020-05-06,18.307793650793702,13.05311985472158,22.41408703255305,11.864023944040909,67.41325827280069,19.505624966370693,10.424729755178909,19.962719128329294,0.0,1013.6393223029373,0.0,0.0
2020-05-07,18.27940947000273,12.032735673930626,22.700731100349657,8.38664541296746,55.20941646489109,19.96013344094696,9.300345574387947,16.048278450363195,0.0,1019.6258081786432,0.0,0.0
2020-05-08,18.976207963411422,11.886234732311037,24.048753699219713,9.29576782351358,56.231804412160606,19.76784718859288,8.1811440677966,14.88695264998649,0.0,1019.5473750336304,0.0,0.0
2020-05-09,19.191398923863424,12.424865240785664,24.171567258541852,9.772312456281927,57.38870836696261,19.557451708366827,8.513098870056425,16.76319671778324,0.0,1015.6012620392854,0.0,0.0
2020-05-10,18.99947914985212,14.714661285983373,22.71837234328766,12.138733925208497,66.89690610707531,18.949926284638,10.173129943502763,18.674099542642022,0.0,1012.1826575195121,0.0,0.0
2020-05-11,16.982884046273956,13.762118913101945,20.263099273607658,13.062843153080484,79.13936938391205,16.499319881624885,12.776843691148768,23.613783158461093,0.0,1006.0470228679055,0.0,0.0
2020-05-12,18.312526230831363,13.51020177562554,22.62264729620653,12.662647296206632,71.68059725585155,18.95239709443096,10.296045197740114,19.92742534301856,0.0,1010.0174334140484,0.0,0.0
2020-05-13,17.31644336830785,13.653192359429626,20.38174334140427,12.524086090933544,76.53010384718881,16.434687113263323,11.577069679849332,21.267794457896127,0.0,1011.2395652407868,0.0,0.0
2020-05-14,19.992239978477336,15.090661285983302,24.16398062953986,13.267046542910993,67.94162927091763,17.315410277105105,10.873476459510353,22.15674361043849,0.0,1007.8992714554762,0.0,0.0
2020-05-15,18.768420769437803,15.016130212536972,22.30061339790145,13.606345977939243,73.37756147430747,18.33886790422376,11.429951035781537,21.72225773473228,0.0,1011.0393392520863,0.0,0.0
2020-05-16,19.080960966131673,14.685136113353176,22.8504518578304,12.997538863480106,71.15881361910702,18.908188682629234,10.90203055032435,20.324749134606854,0.0,1016.5960963142419,0.0,0.0
2020-05-17,20.070990344662718,15.488110124652607,24.445434908677896,13.822180671389738,70.00342378859845,17.791171733476677,8.860493827160443,16.775623710878072,0.0,1016.2622658057679,0.0,0.0
2020-05-18,21.490514124293775,16.370194915254242,25.12114971751412,14.396774011299437,65.62341807909604,19.577898305084737,10.072353107344638,18.335700564971745,0.0,1017.0423333333334,0.0,0.0
2020-05-19,19.79370056497175,16.583573446327687,23.449646892655373,15.075734463276836,74.98477401129944,18.873220338983053,11.051426553672316,21.258276836158192,0.0,1013.3159604519774,0.0,0.0
2020-05-20,19.958305084745763,14.944152542372882,24.029839924670444,13.853107344632768,70.2481732580038,17.741148775894533,10.402900188323919,18.939227871939732,0.0,1011.1893691148778,0.0,0.0
2020-05-21,20.807736346516027,15.521900188323865,24.73139924670434,12.121913370998097,60.05022222222243,19.344613935969825,10.705077212806023,17.940749529190168,0.0,1016.076178907718,0.0,0.0
2020-05-22,21.214703196347024,14.991506849315071,25.56196347031964,12.411552511415527,59.08607305936074,19.389771689497714,9.037123287671236,15.59625570776256,0.0,1022.2130593607308,0.0,0.0
